objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
vjlsarchives020,020.jpg,,Kamishibai Stories,image/jpeg,Collection of paper plays.,,,,,storybooks,Entertainment; Cultural; Children,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives021,021.jpg,,Terracotta Haniwa Warrior Statue,image/jpeg,Example of funerary statues used in the Kofun period.,,,,,statue; terracotta,Cultural; Historical,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives022,022.jpg,,Hairy Mask,image/jpeg,Mask with hair mounted on a plank.,,,,,mask,Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives023,023.jpg,,Noh Masks,image/jpeg,Pair of wooden masks mounted on a plank.,,,,,mask,Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives024,024.jpg,,1950s Reestablishment/Reopening Photos,image/jpeg,Photos of the reestablishment committee and the reopening in 1953,,,1950-1955,,single-page; photographs,School; Reopening,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives025,025.jpg,,Graduation Certificate,image/jpeg,Masako Miyazaki's (宮崎正子) graduation certificate.,,,,,certificate,School; Graduation,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives026,026.jpg,,"Gakuyukai ""Tsuzurikata Kyoshitsu""",image/jpeg,Student Association photo from 1939.,,,1939,,single-page; photographs; pre-ww2,Students,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives027,027.jpg,,"Gakuyukai ""Honeymoon Hotel""",image/jpeg,Student Association photo from 1938.,,,1938,,single-page; photographs; pre-ww2,Students,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives028,028.jpg,,Original School Photo,image/jpeg,Photo of the first 1906 wooden school building.,,,,,single-page; photographs; pre-ww2; oldschool,School; Building,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives029,029.jpg,,1937 Graduating Class,image/jpeg,Graduating photo belonging to Kimiko Nasu (Saito).,,,1937,,single-page; photographs; pre-ww2,Students; Graduation; Building,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives030,030.jpg,,Pre-WW2 Graduating Class,image/jpeg,Graduating photo from before World War 2.,,,,,single-page; photographs; pre-ww2,Students; Graduation; Building,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives031,031.jpg,,Pre-WW2 Grade 6 Notebook,image/jpeg,Notebook of Sumiko Yoshida (吉田 スミ子) from 1931.,,,1931,,book; pre-ww2,Students,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives032,032.jpg,,Pre-WW2 Report Card Open,image/jpeg,Sumiko Yoshida's (吉田 スミ子) report card from 1931.,,,1931,,single-page; document; pre-ww2,Students,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives033,033.jpg,,Original School Opening Photo,image/jpeg,Photo of the first 1906 wooden school building opening.,,,1906,,single-page; photographs; pre-ww2; oldschool,School; Building; Opening,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives034,034.jpg,,First Day,image/jpeg,Teaching staff on first day of classes in 1999.,,,1999,,single-page; photographs,Teachers,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives035,035.jpg,,Gakuyukai 25th Anniversary,image/jpeg,"Student Association celebrating its 25th anniversary in December, 1940.",,,1940,,single-page; photographs;,Students; Building,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives036,036.jpg,,Photo of Japanese Hall,image/jpeg,Photo of the Japanese Hall taken in 1928.,,,1928,,single-page; photographs; pre-ww2,School; Building,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives037,037.jpg,,Pre-WW2 Report Card Closed,image/jpeg,Masako Miyazaki's (宮崎正子) report card from 1931.,,,1931,,single-page; document; pre-ww2,Students,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
